t,spec_uid,uid,suite,task_id,seed,base_idx,w,noise_seed,cluster,is_novel_injection,lifecycle_state,executor,decision_reason,outcome,steps,bc_pool,sigma_k,phi_k,p_ge_tau,tau,wall_s,ledger,episode,cluster_id,cold_start,initial_state_id,episode_seed,observation_noise_seed,perturbation_width,controller,state_before,state_after,B_k_size,training_triggered,training_round,probe_triggered,probe_success_count,probe_failure_count,tau_k,habit_fired,habit_success,teacher_used,teacher_success,demotion,rematuration,transition_to_X,episode_success,VLA_calls,habit_calls,episode_latency,wall_clock_time,policy_version,probe_rounds,ineligible,shadow_jur_score,shadow_jur_q,shadow_jur_accept,aci_fired,aci_fired_fail,aci_empirical_risk,retrain_n,retrain_probe_round,retrain_passed,retrain_train_wall_s,retrain_formation_wall_s,retrain_probe_habit_calls,retrain_bc_pool_at_trigger,ledger_update_source,ledger_update_success
2237,75433d0e3ed8db99,75433d0e3ed8db99,libero_goal,3,2,37,0.01,8002237,libero_goal_task3,False,I,vla,immature,success,190,78,19.0,2.0,0.798,0.816,6.27,operational,2237,libero_goal_task3,False,37,92237,8002237,0.01,vla,I,I,78,False,1,False,,,0.816,False,,True,True,False,False,False,True,24,0,6.27,2026-08-31 10:24:57,1,1,False,6.673,6.157,False,1,1,1.0,,,,,,,,teacher,True
2238,f37c68086ef1022e,f37c68086ef1022e,libero_spatial,7,2,38,0.01,9002238,libero_spatial_task7,True,I,vla,immature,success,115,28,15.0,5.0,0.2307,0.8,14.89,operational,2238,libero_spatial_task7,True,38,102238,9002238,0.01,vla,I,I,28,False,1,False,,,0.8,False,,True,True,False,False,False,True,15,0,14.892,2026-08-31 10:25:05,1,1,False,,,,0,0,0.0,,,,,,,,teacher,True
2239,01a424c220aeb912,01a424c220aeb912,libero_goal,5,2,39,0.01,8002239,libero_goal_task5,False,X,vla,habit_ineligible,success,108,85,22.5,2.5,0.8625,0.8,12.67,operational,2239,libero_goal_task5,False,39,92239,8002239,0.01,vla,X,X,85,False,2,False,,,0.8,False,,True,True,False,False,False,True,14,0,12.666,2026-08-31 10:25:21,2,2,True,4.433,6.344,True,0,0,0.0,,,,,,,,teacher,True
2240,d7626cb4c453acb9,d7626cb4c453acb9,libero_goal,3,2,0,0.01,8002240,libero_goal_task3,False,I,vla,immature,success,189,79,19.0,2.0,0.798,0.816,6.28,operational,2240,libero_goal_task3,False,0,92240,8002240,0.01,vla,I,I,79,False,1,False,,,0.816,False,,True,True,False,False,False,True,24,0,6.282,2026-08-31 10:25:35,1,1,False,5.088,6.157,True,1,1,1.0,,,,,,,,teacher,True
2241,5ffd6ee4d180cc48,5ffd6ee4d180cc48,libero_object,5,2,1,0.01,8002241,libero_object_task5,False,M,habit,fire,success,112,80,30.75,1.5,0.9872,0.8,2.53,operational,2241,libero_object_task5,False,1,92241,8002241,0.01,habit,M,M,80,False,2,False,,,0.8,True,True,False,,False,False,False,True,0,14,2.53,2026-08-31 10:25:41,2,2,False,6.009,7.184,True,8,1,0.125,,,,,,,,fire,True
2242,f01fc7dea138dab6,f01fc7dea138dab6,libero_10,2,2,2,0.01,8002242,libero_10_task2,False,M,habit,fire,success,240,20,80.0,4.0,0.9999,0.8,3.54,operational,2242,libero_10_task2,False,2,92242,8002242,0.01,habit,M,M,20,False,1,False,,,0.8,True,True,False,,False,False,False,True,0,30,3.54,2026-08-31 10:25:45,1,1,False,5.618,7.548,True,64,3,0.0469,,,,,,,,fire,True
2243,ee31678035cdae5b,ee31678035cdae5b,libero_goal,1,2,3,0.01,8002243,libero_goal_task1,False,M,habit,fire,success,87,20,71.0,4.0,0.9995,0.808,3.8,operational,2243,libero_goal_task1,False,3,92243,8002243,0.01,habit,M,M,20,False,1,False,,,0.808,True,True,False,,False,False,False,True,0,11,3.799,2026-08-31 10:25:50,1,1,False,4.649,6.561,True,55,4,0.0727,,,,,,,,fire,True
2244,f06cff61f577e9bc,f06cff61f577e9bc,libero_goal,8,2,4,0.01,8002244,libero_goal_task8,False,M,habit,fire,success,73,20,64.0,3.0,0.9998,0.8,3.72,operational,2244,libero_goal_task8,False,4,92244,8002244,0.01,habit,M,M,20,False,1,False,,,0.8,True,True,False,,False,False,False,True,0,10,3.721,2026-08-31 10:25:55,1,1,False,4.811,6.892,True,47,3,0.0638,,,,,,,,fire,True
2245,c1bcede0a23266be,c1bcede0a23266be,libero_object,5,2,5,0.01,8002245,libero_object_task5,False,M,habit,fire,success,128,80,31.75,1.5,0.9894,0.8,2.67,operational,2245,libero_object_task5,False,5,92245,8002245,0.01,habit,M,M,80,False,2,False,,,0.8,True,True,False,,False,False,False,True,0,16,2.667,2026-08-31 10:25:59,2,2,False,6.587,7.184,True,9,1,0.1111,,,,,,,,fire,True
2246,bc1422e84784b5ef,bc1422e84784b5ef,libero_10,0,2,6,0.01,8002246,libero_10_task0,False,I,vla,immature,success,293,74,6.0,14.0,0.0,0.8,19.16,operational,2246,libero_10_task0,False,6,92246,8002246,0.01,vla,I,I,74,False,1,False,,,0.8,False,,True,True,False,False,False,True,37,0,19.164,2026-08-31 10:26:03,1,1,False,5.651,8.231,True,0,0,0.0,,,,,,,,teacher,True
