seed,episode,cluster_id,suite,task_id,n,probe_round,policy_version,bc_pool_at_trigger,train_wall_s,probe_and_prep_wall_s,formation_event_wall_s,probe_episodes,probe_habit_calls,probe_success_count,probe_failure_count,passed
1,612,libero_10_task2,libero_10,2,20,1,1,20,226.2,61.6,287.8,20,813,15,5,False
1,622,libero_goal_task5,libero_goal,5,20,1,1,20,225.7,55.6,281.3,20,371,17,3,False
1,633,libero_goal_task1,libero_goal,1,20,1,1,20,225.9,44.1,270.0,20,208,20,0,True
1,638,libero_object_task6,libero_object,6,20,1,1,20,226.6,56.3,282.9,20,455,14,6,False
1,650,libero_object_task7,libero_object,7,20,1,1,20,227.3,52.5,279.8,20,359,18,2,False
1,664,libero_object_task5,libero_object,5,20,1,1,20,226.5,55.2,281.7,20,382,17,3,False
1,685,libero_goal_task3,libero_goal,3,20,1,1,20,227.8,62.5,290.3,20,514,16,4,False
1,701,libero_object_task3,libero_object,3,20,1,1,20,227.1,50.2,277.3,20,322,20,0,True
1,715,libero_goal_task0,libero_goal,0,20,1,1,20,226.4,71.1,297.5,20,691,4,16,False
1,766,libero_goal_task2,libero_goal,2,20,1,1,20,226.6,46.6,273.2,20,233,20,0,True
1,772,libero_10_task0,libero_10,0,20,1,1,20,225.0,105.1,330.1,20,1032,9,11,False
1,874,libero_goal_task8,libero_goal,8,20,1,1,20,226.7,49.3,276.0,20,254,18,2,False
1,1200,libero_spatial_task4,libero_spatial,4,20,1,1,20,227.9,71.2,299.1,20,370,15,5,False
1,1318,libero_spatial_task9,libero_spatial,9,20,1,1,20,227.0,69.1,296.1,20,360,15,5,False
1,1529,libero_spatial_task7,libero_spatial,7,20,1,1,20,226.7,69.4,296.1,20,342,16,4,False
1,1530,libero_spatial_task3,libero_spatial,3,20,1,1,20,225.4,57.6,283.0,20,217,20,0,True
1,1604,libero_spatial_task2,libero_spatial,2,20,1,1,20,226.6,61.7,288.3,20,260,19,1,True
1,1838,libero_spatial_task8,libero_spatial,8,20,1,1,20,226.5,68.9,295.4,20,346,15,5,False
1,2204,libero_object_task9,libero_object,9,80,2,2,80,633.2,52.3,685.5,20,317,20,0,True
1,2214,libero_object_task0,libero_object,0,80,2,2,80,626.2,59.2,685.4,20,386,19,1,True
1,2218,libero_spatial_task6,libero_spatial,6,20,1,1,20,227.6,62.3,289.9,20,276,19,1,True
1,2227,libero_10_task2,libero_10,2,80,2,2,80,627.0,57.7,684.7,20,638,19,1,False
1,2243,libero_object_task6,libero_object,6,80,2,2,80,629.7,55.8,685.5,20,380,19,1,False
1,2244,libero_goal_task0,libero_goal,0,80,2,2,80,628.9,61.0,689.9,20,461,17,3,False
1,2268,libero_goal_task6,libero_goal,6,80,2,2,80,626.5,53.4,679.9,20,294,18,2,False
1,2319,libero_object_task5,libero_object,5,80,2,2,80,627.6,54.3,681.9,20,328,20,0,True
1,2334,libero_goal_task5,libero_goal,5,80,2,2,80,626.6,57.2,683.8,20,355,18,2,False
1,2364,libero_object_task7,libero_object,7,80,2,2,80,626.0,54.9,680.9,20,345,19,1,True
1,2373,libero_object_task8,libero_object,8,80,2,2,80,628.2,59.3,687.5,20,460,17,3,False
1,2411,libero_goal_task8,libero_goal,8,80,2,2,80,629.8,50.0,679.8,20,227,19,1,True
1,2415,libero_spatial_task0,libero_spatial,0,80,2,2,80,629.4,60.0,689.4,20,237,18,2,False
1,2480,libero_10_task0,libero_10,0,80,2,2,80,631.6,94.7,726.3,20,811,15,5,False
1,2579,libero_goal_task3,libero_goal,3,80,2,2,80,630.7,64.4,695.1,20,472,18,2,False
1,3251,libero_spatial_task5,libero_spatial,5,20,1,1,20,227.5,77.0,304.5,20,385,11,9,False
1,3843,libero_object_task1,libero_object,1,80,2,2,80,629.6,56.8,686.4,20,354,20,0,True
2,333,libero_spatial_task1,libero_spatial,1,20,1,1,20,226.4,62.4,288.8,20,308,17,3,False
2,386,libero_object_task1,libero_object,1,20,1,1,20,226.4,62.2,288.6,20,534,11,9,False
2,396,libero_goal_task5,libero_goal,5,20,1,1,20,226.4,53.0,279.4,20,344,18,2,False
2,410,libero_object_task8,libero_object,8,20,1,1,20,225.5,51.6,277.1,20,357,20,0,True
2,412,libero_object_task6,libero_object,6,20,1,1,20,226.6,59.0,285.6,20,497,12,8,False
2,439,libero_spatial_task0,libero_spatial,0,20,1,1,20,227.5,55.9,283.4,20,236,18,2,False
2,485,libero_object_task3,libero_object,3,20,1,1,20,226.7,55.1,281.8,20,403,17,3,False
2,492,libero_goal_task4,libero_goal,4,20,1,1,20,225.5,47.2,272.7,20,247,19,1,True
2,505,libero_object_task7,libero_object,7,20,1,1,20,225.8,55.1,280.9,20,410,16,4,False
2,524,libero_goal_task6,libero_goal,6,20,1,1,20,227.4,54.1,281.5,20,367,15,5,False
2,534,libero_goal_task3,libero_goal,3,20,1,1,20,225.8,59.4,285.2,20,457,19,1,True
2,543,libero_object_task5,libero_object,5,20,1,1,20,227.2,52.2,279.4,20,341,19,1,True
2,552,libero_object_task0,libero_object,0,20,1,1,20,227.4,57.6,285.0,20,392,18,2,False
2,600,libero_goal_task7,libero_goal,7,20,1,1,20,227.8,43.4,271.2,20,188,20,0,True
2,617,libero_10_task2,libero_10,2,20,1,1,20,226.7,52.5,279.2,20,615,19,1,True
2,626,libero_goal_task0,libero_goal,0,20,1,1,20,224.7,61.6,286.3,20,516,14,6,False
2,629,libero_10_task0,libero_10,0,20,1,1,20,226.5,113.2,339.7,20,1139,6,14,False
2,636,libero_goal_task1,libero_goal,1,20,1,1,20,226.7,46.1,272.8,20,216,20,0,True
2,650,libero_goal_task2,libero_goal,2,20,1,1,20,225.6,47.9,273.5,20,233,20,0,True
2,693,libero_goal_task9,libero_goal,9,20,1,1,20,226.3,64.9,291.2,20,500,12,8,False
2,708,libero_object_task2,libero_object,2,20,1,1,20,226.2,50.6,276.8,20,290,20,0,True
2,725,libero_goal_task8,libero_goal,8,20,1,1,20,226.0,45.7,271.7,20,191,20,0,True
2,765,libero_10_task5,libero_10,5,20,1,1,20,227.2,62.0,289.2,20,631,17,3,False
2,810,libero_object_task9,libero_object,9,20,1,1,20,226.8,50.0,276.8,20,296,20,0,True
2,877,libero_object_task4,libero_object,4,20,1,1,20,227.6,52.7,280.3,20,341,20,0,True
