anchor,sample_idx,ms
gate_path,90,4.1555
gate_path,91,4.1573
gate_path,92,4.1826
gate_path,93,4.1652
gate_path,94,4.1759
gate_path,95,4.1732
gate_path,96,4.1729
gate_path,97,4.1915
gate_path,98,4.1962
gate_path,99,4.2027
teacher_oft_chunk_forward,0,85.2176
teacher_oft_chunk_forward,1,85.2569
teacher_oft_chunk_forward,2,85.1472
teacher_oft_chunk_forward,3,85.0832
teacher_oft_chunk_forward,4,85.0266
teacher_oft_chunk_forward,5,85.1924
teacher_oft_chunk_forward,6,85.1455
teacher_oft_chunk_forward,7,85.1697
teacher_oft_chunk_forward,8,85.2115
teacher_oft_chunk_forward,9,85.1495
teacher_oft_chunk_forward,10,85.0953
teacher_oft_chunk_forward,11,85.2724
teacher_oft_chunk_forward,12,85.1689
teacher_oft_chunk_forward,13,85.3343
teacher_oft_chunk_forward,14,85.1425
teacher_oft_chunk_forward,15,85.1233
teacher_oft_chunk_forward,16,85.0291
teacher_oft_chunk_forward,17,85.0459
teacher_oft_chunk_forward,18,84.919
teacher_oft_chunk_forward,19,84.9535
teacher_oft_chunk_forward,20,85.4504
teacher_oft_chunk_forward,21,85.6233
teacher_oft_chunk_forward,22,86.0185
teacher_oft_chunk_forward,23,85.2595
teacher_oft_chunk_forward,24,87.5443
teacher_oft_chunk_forward,25,87.0998
teacher_oft_chunk_forward,26,88.0121
teacher_oft_chunk_forward,27,86.3703
teacher_oft_chunk_forward,28,85.6155
teacher_oft_chunk_forward,29,85.5656
teacher_oft_chunk_forward,30,85.6337
teacher_oft_chunk_forward,31,85.5718
teacher_oft_chunk_forward,32,85.454
teacher_oft_chunk_forward,33,85.5198
teacher_oft_chunk_forward,34,85.9161
teacher_oft_chunk_forward,35,85.7337
teacher_oft_chunk_forward,36,85.8206
teacher_oft_chunk_forward,37,85.8785
teacher_oft_chunk_forward,38,85.6771
teacher_oft_chunk_forward,39,85.6508
teacher_oft_chunk_forward,40,85.5344
teacher_oft_chunk_forward,41,85.6119
teacher_oft_chunk_forward,42,85.6193
teacher_oft_chunk_forward,43,85.6071
teacher_oft_chunk_forward,44,85.5115
teacher_oft_chunk_forward,45,85.5964
teacher_oft_chunk_forward,46,85.7921
teacher_oft_chunk_forward,47,85.6209
teacher_oft_chunk_forward,48,85.9571
teacher_oft_chunk_forward,49,85.717
teacher_oft_chunk_forward,50,85.5016
teacher_oft_chunk_forward,51,85.4395
teacher_oft_chunk_forward,52,85.4777
teacher_oft_chunk_forward,53,85.484
teacher_oft_chunk_forward,54,85.432
teacher_oft_chunk_forward,55,85.576
teacher_oft_chunk_forward,56,85.6311
teacher_oft_chunk_forward,57,85.8634
teacher_oft_chunk_forward,58,85.5882
teacher_oft_chunk_forward,59,85.926
teacher_oft_chunk_forward,60,86.7957
teacher_oft_chunk_forward,61,85.8599
teacher_oft_chunk_forward,62,86.6257
teacher_oft_chunk_forward,63,87.1248
teacher_oft_chunk_forward,64,86.7715
teacher_oft_chunk_forward,65,86.2737
teacher_oft_chunk_forward,66,86.4997
teacher_oft_chunk_forward,67,86.7164
teacher_oft_chunk_forward,68,86.0016
teacher_oft_chunk_forward,69,86.0121
teacher_oft_chunk_forward,70,87.0485
teacher_oft_chunk_forward,71,85.8887
teacher_oft_chunk_forward,72,85.7954
teacher_oft_chunk_forward,73,85.7159
teacher_oft_chunk_forward,74,85.6289
teacher_oft_chunk_forward,75,85.0009
teacher_oft_chunk_forward,76,85.0743
teacher_oft_chunk_forward,77,85.0979
teacher_oft_chunk_forward,78,85.0657
teacher_oft_chunk_forward,79,84.9122
teacher_oft_chunk_forward,80,85.035
teacher_oft_chunk_forward,81,85.1841
teacher_oft_chunk_forward,82,85.0827
teacher_oft_chunk_forward,83,85.015
teacher_oft_chunk_forward,84,85.1101
teacher_oft_chunk_forward,85,85.0752
teacher_oft_chunk_forward,86,85.0189
teacher_oft_chunk_forward,87,84.9507
teacher_oft_chunk_forward,88,84.9223
teacher_oft_chunk_forward,89,84.967
teacher_oft_chunk_forward,90,84.8226
teacher_oft_chunk_forward,91,84.8706
teacher_oft_chunk_forward,92,85.1738
teacher_oft_chunk_forward,93,85.0188
teacher_oft_chunk_forward,94,84.9769
teacher_oft_chunk_forward,95,84.9917
teacher_oft_chunk_forward,96,84.9578
teacher_oft_chunk_forward,97,84.9997
teacher_oft_chunk_forward,98,85.012
teacher_oft_chunk_forward,99,84.9229
