seed,cluster_id,suite,task_id,cold_start,first_exposure_episode,first_training_episode,second_training_episode,first_maturity_episode,first_X_episode,num_exposures,num_firings,num_failures,num_demotions,num_rematurations,num_retrainings,final_state,final_B_k_size,final_tau,final_sigma_k,final_phi_k
2,libero_10_task0,libero_10,0,0,14,629,2460,,2460,144,0,0,0,0,2,X,126,0.8,14.5,10.5
2,libero_10_task2,libero_10,2,0,16,617,,617,,144,124,8,0,0,1,M,20,0.8,135.0,9.0
2,libero_10_task5,libero_10,5,0,37,765,2401,2401,,144,64,1,0,0,2,M,80,0.8,86.25,2.75
2,libero_goal_task0,libero_goal,0,0,2,626,2216,2216,,144,56,0,0,0,2,M,80,0.8,79.5,1.5
2,libero_goal_task1,libero_goal,1,0,70,636,,636,,144,124,5,0,0,1,M,20,0.8,139.0,5.0
2,libero_goal_task2,libero_goal,2,0,15,650,,650,,144,124,5,0,0,1,M,20,0.8,139.0,5.0
2,libero_goal_task3,libero_goal,3,0,31,534,2361,534,2361,144,1,1,1,0,2,X,129,0.816,18.75,6.5
2,libero_goal_task4,libero_goal,4,0,0,492,,492,,144,122,9,0,0,1,M,20,0.8,132.0,10.0
2,libero_goal_task5,libero_goal,5,0,6,396,2160,,2160,144,0,0,0,0,2,X,143,0.8,22.5,2.5
2,libero_goal_task6,libero_goal,6,0,21,524,1988,,1988,144,0,0,0,0,2,X,142,0.8,20.75,4.25
2,libero_goal_task7,libero_goal,7,0,1,600,,600,,144,124,0,0,0,1,M,20,0.8,144.0,0.0
2,libero_goal_task8,libero_goal,8,0,19,725,,725,,144,124,3,0,0,1,M,20,0.8,141.0,3.0
2,libero_goal_task9,libero_goal,9,0,9,693,2453,,2453,144,0,0,0,0,2,X,140,0.8,22.0,3.0
2,libero_object_task0,libero_object,0,0,8,552,2011,2011,,144,63,4,0,0,2,M,80,0.824,83.5,4.5
2,libero_object_task1,libero_object,1,0,7,386,1893,,1893,144,0,0,0,0,2,X,140,0.8,22.75,2.25
2,libero_object_task2,libero_object,2,0,45,708,,708,,144,124,3,0,0,1,M,20,0.8,141.0,3.0
2,libero_object_task3,libero_object,3,0,4,485,2172,,2172,144,0,0,0,0,2,X,139,0.8,22.25,2.75
2,libero_object_task4,libero_object,4,0,57,877,,877,,144,122,0,0,0,1,M,20,0.8,142.0,0.0
2,libero_object_task5,libero_object,5,0,3,543,2091,543,,144,60,2,1,1,2,M,80,0.8,81.75,2.5
2,libero_object_task6,libero_object,6,0,11,412,1951,,1951,144,0,0,0,0,2,X,142,0.8,22.0,3.0
2,libero_object_task7,libero_object,7,0,10,505,2220,,2220,144,0,0,0,0,2,X,140,0.8,22.0,3.0
2,libero_object_task8,libero_object,8,0,5,410,,410,,144,124,5,0,0,1,M,20,0.8,139.0,5.0
2,libero_object_task9,libero_object,9,0,27,810,,810,,144,124,11,0,0,1,M,20,0.8,133.0,11.0
2,libero_spatial_task0,libero_spatial,0,0,62,439,2301,,2301,144,0,0,0,0,2,X,142,0.8,22.5,2.5
2,libero_spatial_task1,libero_spatial,1,0,25,333,2104,2104,,144,62,2,0,0,2,M,80,0.8,83.25,3.75
2,libero_spatial_task2,libero_spatial,2,1,18,1679,,1679,,50,30,1,0,0,1,M,20,0.8,48.0,2.0
2,libero_spatial_task3,libero_spatial,3,1,53,1154,,1154,,50,29,4,0,0,1,M,20,0.828,45.0,4.0
2,libero_spatial_task4,libero_spatial,4,1,28,2153,,2153,,50,30,1,0,0,1,M,20,0.8,48.0,2.0
2,libero_spatial_task5,libero_spatial,5,1,41,1895,,,,50,0,0,0,0,1,I,38,0.8,9.0,11.0
2,libero_spatial_task6,libero_spatial,6,1,55,1739,,1739,,50,30,0,0,0,1,M,20,0.8,50.0,0.0
2,libero_spatial_task7,libero_spatial,7,1,26,1643,,,,50,0,0,0,0,1,I,48,0.8,15.0,5.0
2,libero_spatial_task8,libero_spatial,8,1,128,1598,,,,50,0,0,0,0,1,I,44,0.8,16.0,4.0
2,libero_spatial_task9,libero_spatial,9,1,77,1502,,,,50,0,0,0,0,1,I,49,0.8,13.0,7.0
