seed,episode,cluster_id,suite,task_id,cold_start,event_type,state_before,state_after,B_k_size,sigma_k,phi_k,tau_k,policy_version,probe_rounds,n,probe_round,probe_success_count,probe_failure_count,passed
0,1744,libero_spatial_task3,libero_spatial,3,True,first_maturity,I,M,20,20.0,0.0,0.8,1,1,,,,,
0,1749,libero_spatial_task7,libero_spatial,7,True,first_training,I,M,20,20.0,0.0,0.8,1,1,20,1,20,0,True
0,1749,libero_spatial_task7,libero_spatial,7,True,first_maturity,I,M,20,20.0,0.0,0.8,1,1,,,,,
0,1754,libero_spatial_task5,libero_spatial,5,True,first_training,I,I,20,10.0,10.0,0.8,1,1,20,1,10,10,False
0,1781,libero_spatial_task6,libero_spatial,6,True,first_training,I,M,20,20.0,0.0,0.8,1,1,20,1,20,0,True
0,1781,libero_spatial_task6,libero_spatial,6,True,first_maturity,I,M,20,20.0,0.0,0.8,1,1,,,,,
0,1893,libero_spatial_task2,libero_spatial,2,True,first_training,I,M,20,19.0,1.0,0.8,1,1,20,1,19,1,True
0,1893,libero_spatial_task2,libero_spatial,2,True,first_maturity,I,M,20,19.0,1.0,0.8,1,1,,,,,
0,1958,libero_goal_task9,libero_goal,9,False,retraining,I,X,80,22.75,2.25,0.8,2,2,80,2,19,1,False
0,1958,libero_goal_task9,libero_goal,9,False,transition_X,I,X,80,22.75,2.25,0.8,2,2,,,,,
0,2073,libero_goal_task0,libero_goal,0,False,retraining,I,X,80,13.0,12.0,0.8,2,2,80,2,10,10,False
0,2073,libero_goal_task0,libero_goal,0,False,transition_X,I,X,80,13.0,12.0,0.8,2,2,,,,,
0,2122,libero_object_task1,libero_object,1,False,retraining,I,X,80,22.0,3.0,0.8,2,2,80,2,19,1,False
0,2122,libero_object_task1,libero_object,1,False,transition_X,I,X,80,22.0,3.0,0.8,2,2,,,,,
0,2197,libero_object_task7,libero_object,7,False,retraining,I,X,80,23.0,2.5,0.816,2,2,80,2,18,2,False
0,2197,libero_object_task7,libero_object,7,False,transition_X,I,X,80,23.0,2.5,0.816,2,2,,,,,
