metric,seed_or_cluster,old_rgbd,new_rgb,absolute_change,relative_change,source_old,source_new,note
batch.s_hat_n80,libero_object_task3,1.0,0.9,-0.1,-0.1,results/e3/e3_curves.json,/home/asmr/workspace/habitvla2/results/rgb_only_full_rerun_20260828/08_statistics/rgb_only_e3_curves.json,
batch.s_hat_n20,libero_object_task4,1.0,1.0,0.0,0.0,results/e3/e3_curves.json,/home/asmr/workspace/habitvla2/results/rgb_only_full_rerun_20260828/08_statistics/rgb_only_e3_curves.json,
batch.s_hat_n80,libero_object_task4,1.0,1.0,0.0,0.0,results/e3/e3_curves.json,/home/asmr/workspace/habitvla2/results/rgb_only_full_rerun_20260828/08_statistics/rgb_only_e3_curves.json,
batch.s_hat_n20,libero_object_task5,0.95,1.0,0.05,0.052632,results/e3/e3_curves.json,/home/asmr/workspace/habitvla2/results/rgb_only_full_rerun_20260828/08_statistics/rgb_only_e3_curves.json,
batch.s_hat_n80,libero_object_task5,1.0,0.9,-0.1,-0.1,results/e3/e3_curves.json,/home/asmr/workspace/habitvla2/results/rgb_only_full_rerun_20260828/08_statistics/rgb_only_e3_curves.json,
batch.s_hat_n20,libero_object_task6,0.75,0.7,-0.05,-0.066667,results/e3/e3_curves.json,/home/asmr/workspace/habitvla2/results/rgb_only_full_rerun_20260828/08_statistics/rgb_only_e3_curves.json,
batch.s_hat_n80,libero_object_task6,0.95,0.8,-0.15,-0.157895,results/e3/e3_curves.json,/home/asmr/workspace/habitvla2/results/rgb_only_full_rerun_20260828/08_statistics/rgb_only_e3_curves.json,
batch.s_hat_n20,libero_object_task7,0.85,0.65,-0.2,-0.235294,results/e3/e3_curves.json,/home/asmr/workspace/habitvla2/results/rgb_only_full_rerun_20260828/08_statistics/rgb_only_e3_curves.json,
batch.s_hat_n80,libero_object_task7,1.0,0.85,-0.15,-0.15,results/e3/e3_curves.json,/home/asmr/workspace/habitvla2/results/rgb_only_full_rerun_20260828/08_statistics/rgb_only_e3_curves.json,
batch.s_hat_n20,libero_object_task8,0.65,0.85,0.2,0.307692,results/e3/e3_curves.json,/home/asmr/workspace/habitvla2/results/rgb_only_full_rerun_20260828/08_statistics/rgb_only_e3_curves.json,
batch.s_hat_n80,libero_object_task8,0.95,1.0,0.05,0.052632,results/e3/e3_curves.json,/home/asmr/workspace/habitvla2/results/rgb_only_full_rerun_20260828/08_statistics/rgb_only_e3_curves.json,
batch.s_hat_n20,libero_object_task9,0.95,0.9,-0.05,-0.052632,results/e3/e3_curves.json,/home/asmr/workspace/habitvla2/results/rgb_only_full_rerun_20260828/08_statistics/rgb_only_e3_curves.json,
batch.s_hat_n80,libero_object_task9,0.9,0.95,0.05,0.055556,results/e3/e3_curves.json,/home/asmr/workspace/habitvla2/results/rgb_only_full_rerun_20260828/08_statistics/rgb_only_e3_curves.json,
batch.s_hat_n20,libero_spatial_task0,0.9,0.95,0.05,0.055556,results/e3/e3_curves.json,/home/asmr/workspace/habitvla2/results/rgb_only_full_rerun_20260828/08_statistics/rgb_only_e3_curves.json,
batch.s_hat_n80,libero_spatial_task0,0.95,1.0,0.05,0.052632,results/e3/e3_curves.json,/home/asmr/workspace/habitvla2/results/rgb_only_full_rerun_20260828/08_statistics/rgb_only_e3_curves.json,
batch.s_hat_n20,libero_spatial_task1,0.95,0.9,-0.05,-0.052632,results/e3/e3_curves.json,/home/asmr/workspace/habitvla2/results/rgb_only_full_rerun_20260828/08_statistics/rgb_only_e3_curves.json,
batch.s_hat_n80,libero_spatial_task1,0.95,1.0,0.05,0.052632,results/e3/e3_curves.json,/home/asmr/workspace/habitvla2/results/rgb_only_full_rerun_20260828/08_statistics/rgb_only_e3_curves.json,
online.routing_first_1000,0,0.887,0.861,-0.026,-0.029312,results/e5/reading_0.json,/home/asmr/workspace/habitvla2/results/rgb_only_full_rerun_20260828/02_online_seed0/ONLINE_SUMMARY_seed0.json,
online.routing_last_1000,0,0.393,0.458,0.065,0.165394,results/e5/reading_0.json,/home/asmr/workspace/habitvla2/results/rgb_only_full_rerun_20260828/02_online_seed0/ONLINE_SUMMARY_seed0.json,
online.routing_reduction,0,0.494,0.403,-0.091,-0.184211,results/e5/reading_0.json,/home/asmr/workspace/habitvla2/results/rgb_only_full_rerun_20260828/02_online_seed0/ONLINE_SUMMARY_seed0.json,
online.routing_full_stream,0,0.616,0.6155,-0.0005,-0.000812,results/e5/reading_0.json,/home/asmr/workspace/habitvla2/results/rgb_only_full_rerun_20260828/02_online_seed0/ONLINE_SUMMARY_seed0.json,
online.system_success,0,0.9627,0.9573,-0.0054,-0.005609,results/e5/reading_0.json,/home/asmr/workspace/habitvla2/results/rgb_only_full_rerun_20260828/02_online_seed0/ONLINE_SUMMARY_seed0.json,
online.fire_success_rate,0,0.9766,0.961,-0.0156,-0.015974,results/e5/reading_0.json,/home/asmr/workspace/habitvla2/results/rgb_only_full_rerun_20260828/02_online_seed0/ONLINE_SUMMARY_seed0.json,
online.habit_firing_count,0,1536,1538,2,0.001302,results/e5/reading_0.json,/home/asmr/workspace/habitvla2/results/rgb_only_full_rerun_20260828/02_online_seed0/ONLINE_SUMMARY_seed0.json,
online.firing_risk,0,0.0234,0.039,0.0156,0.666667,results/e5/reading_0.json,/home/asmr/workspace/habitvla2/results/rgb_only_full_rerun_20260828/02_online_seed0/ONLINE_SUMMARY_seed0.json,
online.demotion_count,0,3,5,2,0.666667,results/e5/reading_0.json,/home/asmr/workspace/habitvla2/results/rgb_only_full_rerun_20260828/02_online_seed0/ONLINE_SUMMARY_seed0.json,
online.rematuration_count,0,0,1,1,,results/e5/reading_0.json,/home/asmr/workspace/habitvla2/results/rgb_only_full_rerun_20260828/02_online_seed0/ONLINE_SUMMARY_seed0.json,old = demotions.events 중 regained_M
online.n_retrain_events,0,51,49,-2,-0.039216,results/e5/reading_0.json,/home/asmr/workspace/habitvla2/results/rgb_only_full_rerun_20260828/02_online_seed0/ONLINE_SUMMARY_seed0.json,
online.final_M,0,19,17,-2,-0.105263,results/e5/summary_0.json,/home/asmr/workspace/habitvla2/results/rgb_only_full_rerun_20260828/02_online_seed0/ONLINE_SUMMARY_seed0.json,
online.final_I,0,6,6,0,0.0,results/e5/summary_0.json,/home/asmr/workspace/habitvla2/results/rgb_only_full_rerun_20260828/02_online_seed0/ONLINE_SUMMARY_seed0.json,
online.final_X,0,8,10,2,0.25,results/e5/summary_0.json,/home/asmr/workspace/habitvla2/results/rgb_only_full_rerun_20260828/02_online_seed0/ONLINE_SUMMARY_seed0.json,
online.final_U,0,0,0,0,,results/e5/summary_0.json,/home/asmr/workspace/habitvla2/results/rgb_only_full_rerun_20260828/02_online_seed0/ONLINE_SUMMARY_seed0.json,
